"mass-rfile"
"Iteration" "mass"
("Iteration" "mass(inlet)" "mass(outlet-oil)")
3088 0.02622239847736852 -0.0262224562164265
3089 0.02622239847736852 -0.0262224559451416
3090 0.02622239847736852 -0.02622244794114682
3091 0.02622239847736852 -0.02622244086415847
3092 0.02622239847736852 -0.02622243520058914
3093 0.02622239847736852 -0.02622242955484807
3094 0.02622239847736852 -0.02622242468818075
3095 0.02622239847736852 -0.02622241555765149
3096 0.02622239847736852 -0.02622240729300729
3097 0.02622239847736852 -0.02622239650953256
3098 0.02622239847736852 -0.02622238743695476
3099 0.02622239847736852 -0.02622237791188698
3100 0.02622239847736852 -0.02622237004470951
3101 0.02622239847736852 -0.02622236316412998
3102 0.02622239847736852 -0.02622235021368837
3103 0.02622239847736852 -0.02622234666696572
3104 0.02622239847736852 -0.02622233649558505
3105 0.02622239847736852 -0.02622232622081666
3106 0.02622239847736852 -0.02622232451743137
3107 0.02622239847736852 -0.02622232202390376
3108 0.02622239847736852 -0.02622232243716157
3109 0.02622239847736852 -0.02622232460122288
3110 0.02622239847736852 -0.02622232822777148
3111 0.02622239847736852 -0.02622232251099053
3112 0.02622239847736852 -0.02622233517393031
3113 0.02622239847736852 -0.0262223324564984
3114 0.02622239847736852 -0.02622233407674021
3115 0.02622239847736852 -0.02622233757284693
3116 0.02622239847736852 -0.0262223447846768
3117 0.02622239847736852 -0.0262223493479394
3118 0.02622239847736852 -0.02622235458722685
3119 0.02622239847736852 -0.02622236010661736
3120 0.02622239847736852 -0.02622236606288569
3121 0.02622239847736852 -0.02622237039393832
3122 0.02622239847736852 -0.02622237396798189
3123 0.02622239847736852 -0.02622238016643139
3124 0.02622239847736852 -0.02622238193944104
3125 0.02622239847736852 -0.02622238371202413
3126 0.02622239847736852 -0.02622238624056269
3127 0.02622239847736852 -0.026222387295327
3128 0.02622239847736852 -0.02622238754497169
3129 0.02622239847736852 -0.02622238761976173
3130 0.02622239847736852 -0.02622238923916959
3131 0.02622239847736852 -0.02622238560208986
3132 0.02622239847736852 -0.02622238257060877
3133 0.02622239847736852 -0.02622237807586626
3134 0.02622239847736852 -0.02622237300960501
3135 0.02622239847736852 -0.02622236881419556
3136 0.02622239847736852 -0.02622236445341793
3137 0.02622239847736852 -0.02622235454969177
3138 0.02622239847736852 -0.02622235192092679
3139 0.02622239847736852 -0.02622234495266377
3140 0.02622239847736852 -0.02622233777187281
3141 0.02622239847736852 -0.02622233476856535
3142 0.02622239847736852 -0.02622232460557371
3143 0.02622239847736852 -0.02622232791489814
3144 0.02622239847736852 -0.02622232161250107
3145 0.02622239847736852 -0.02622232228324315
3146 0.02622239847736852 -0.02622231607306368
3147 0.02622239847736852 -0.02622231755658069
3148 0.02622239847736852 -0.02622231965101425
3149 0.02622239847736852 -0.02622231985328741
3150 0.02622239847736852 -0.0262223263133935
3151 0.02622239847736852 -0.02622232815046184
3152 0.02622239847736852 -0.02622233265998225
